FECHA,HORA,VAL,SUR,TAC,EAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,HAN,ARA,NET,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,BJU,TAX,ACO,IZT,CHO
14/07/08,15,0.000,0.010,0.000,0.004,0.004,0.000,0.000,0.001,0.002,0.004,0.006,0.003,0.011,0.004,-9.999,0.000,-9.999,0.000,0.002,0.002,0.002,0.002,0.007,0.005,-9.999,0.003,0.001,0.002,0.000
14/07/08,16,0.000,0.010,0.000,0.003,0.004,0.000,0.000,0.001,0.002,0.004,0.005,0.004,0.013,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.003,0.002,0.006,0.005,-9.999,0.002,0.001,0.002,0.000
14/07/08,17,0.000,0.007,0.000,0.003,0.004,0.000,0.000,0.001,0.002,0.004,0.006,0.004,0.011,0.004,-9.999,0.000,-9.999,0.000,0.002,0.002,0.003,0.002,0.007,0.005,-9.999,0.002,0.001,0.002,0.002
14/07/08,18,0.000,0.008,0.000,0.004,0.004,0.000,0.000,0.001,0.002,0.004,0.009,0.005,0.008,0.006,-9.999,0.000,-9.999,0.000,0.003,0.002,0.004,0.002,0.007,0.005,-9.999,0.005,0.001,0.004,0.006
14/07/08,19,0.000,0.006,0.001,0.003,0.004,0.000,0.000,0.002,0.002,0.003,0.006,0.006,0.007,0.006,-9.999,0.000,-9.999,0.000,0.003,0.002,0.006,0.004,0.006,0.007,-9.999,-9.999,0.002,0.005,0.002
14/07/08,20,0.001,0.003,0.000,0.003,0.005,0.000,0.000,0.003,0.001,0.004,0.006,0.005,0.005,0.007,-9.999,0.000,-9.999,0.000,0.003,0.002,0.006,0.002,0.002,0.008,-9.999,0.003,0.002,0.004,0.001
14/07/08,21,0.001,0.001,0.000,0.002,0.005,0.000,0.001,0.005,0.001,0.007,0.006,0.006,0.004,0.004,-9.999,0.002,-9.999,0.000,0.002,0.002,0.004,0.002,0.002,0.007,-9.999,0.001,0.001,0.003,0.000
14/07/08,22,0.001,0.001,0.000,0.002,0.005,0.000,0.001,0.003,0.002,0.005,0.006,0.006,0.004,0.004,-9.999,0.001,-9.999,0.000,0.002,0.002,0.002,0.002,0.002,0.006,-9.999,0.001,0.001,0.004,0.000
14/07/08,23,0.002,0.001,0.001,0.002,0.005,0.000,0.000,0.003,0.001,0.003,0.005,0.005,0.003,0.004,-9.999,0.001,-9.999,0.000,0.002,0.003,0.002,0.003,0.002,0.006,-9.999,0.001,-9.999,0.003,0.001
14/07/08,24,0.001,0.002,0.000,0.002,0.005,0.000,0.000,0.002,0.001,0.003,0.005,0.004,0.004,0.003,-9.999,0.000,-9.999,0.000,0.002,0.002,0.003,0.004,0.002,0.006,-9.999,0.001,0.001,0.002,0.000
